iter	MultiClass
0	1.066234743
1	1.037355867
2	1.014758662
3	0.9963563553
4	0.9766599645
5	0.9642408912
6	0.9521522326
7	0.9401448293
8	0.9283299568
9	0.9181403405
10	0.9097592224
11	0.9019075298
12	0.8941309041
13	0.8867828191
14	0.8802969758
15	0.8762687198
16	0.8709456581
17	0.8647562234
18	0.8614037472
19	0.856678892
20	0.8527038314
21	0.848140904
22	0.8454738661
23	0.8405077176
24	0.8381508339
25	0.834888385
26	0.8311040816
27	0.8264799957
28	0.8232497805
29	0.8202411313
30	0.8155683859
31	0.8131871847
32	0.8103924284
33	0.8082319943
34	0.804557946
35	0.8014853522
36	0.7991166377
37	0.7974410764
38	0.7947657063
39	0.7914151898
40	0.7890738552
41	0.7870450408
42	0.7841709645
43	0.782230479
44	0.7807803474
45	0.7782006835
46	0.7754806834
47	0.7729856548
48	0.7694392144
49	0.7661483283
50	0.7639992105
51	0.762503163
52	0.7602275198
53	0.7587471442
54	0.7571169087
55	0.7551637209
56	0.7527342449
57	0.7503860373
58	0.7479886112
59	0.7462695179
60	0.743485896
61	0.7415204354
62	0.7390118405
63	0.7369461152
64	0.7357284391
65	0.7332228542
66	0.731211762
67	0.7286686681
68	0.7272951403
69	0.7252430391
70	0.7226912897
71	0.7213546439
72	0.7184662152
73	0.7165932014
74	0.711743543
75	0.7088204594
76	0.7057928772
77	0.7037899668
78	0.7026144349
79	0.7005045759
80	0.6976006129
81	0.6963900354
82	0.6946709581
83	0.6905108223
84	0.6886747009
85	0.6871214654
86	0.6834296637
87	0.6794108758
88	0.6772611631
89	0.6747120242
90	0.6713069483
91	0.6693454227
92	0.6666629625
93	0.6624721981
94	0.6612379756
95	0.658666313
96	0.6564467287
97	0.6550970081
98	0.6526970239
99	0.6505376719
100	0.6488724307
101	0.6460545497
102	0.6448856929
103	0.6408016034
104	0.6397518457
105	0.6366362057
106	0.6331977438
107	0.629292938
108	0.6276952722
109	0.6264027439
110	0.6237020452
111	0.6207928917
112	0.617897347
113	0.6164604742
114	0.6144660344
115	0.6122940833
116	0.6097641644
117	0.6073927481
118	0.6052106744
119	0.6023644502
120	0.598114334
121	0.5965468422
122	0.5947963924
123	0.5937325847
124	0.5915895121
125	0.5883383634
126	0.5869482042
127	0.5850513141
128	0.5828081506
129	0.5816736671
130	0.5792828923
131	0.5770950687
132	0.5748924367
133	0.5730010718
134	0.5698136979
135	0.566441483
136	0.5634506962
137	0.5609300608
138	0.5585031072
139	0.5550031154
140	0.5536845869
141	0.5506401539
142	0.5495959354
143	0.5468530252
144	0.5448713496
145	0.5419891369
146	0.5414551135
147	0.5399802914
148	0.5379875351
149	0.5365530651
150	0.5345453194
151	0.5332992374
152	0.5320042958
153	0.5311111843
154	0.5293817382
155	0.5283748216
156	0.527061217
157	0.5260153533
158	0.5245823299
159	0.5231666709
160	0.5200777986
161	0.5173899408
162	0.5163747537
163	0.5143182136
164	0.5111671639
165	0.5095799935
166	0.508677907
167	0.5070452223
168	0.5052630548
169	0.5035922302
170	0.5017594548
171	0.5000202867
172	0.4991749847
173	0.4976271787
174	0.4962875865
175	0.4942506612
176	0.4925833365
177	0.4901245427
178	0.4877858233
179	0.4857686758
180	0.4843468133
181	0.4827691601
182	0.481567183
183	0.4796188286
184	0.476968438
185	0.4743230409
186	0.4728509027
187	0.4715811425
188	0.4705760876
189	0.4688568038
190	0.4674092424
191	0.4651952111
192	0.4633572616
193	0.4614874057
194	0.460346803
195	0.4589584753
196	0.4566362635
197	0.4560003145
198	0.4537335488
199	0.4511618338
200	0.4496824461
201	0.4489542405
202	0.4476847311
203	0.4463404325
204	0.4445459018
205	0.4426633769
206	0.4417570685
207	0.4401664119
208	0.4380668967
209	0.4360248835
210	0.4341626648
211	0.4335063969
212	0.4314881434
213	0.4297655813
214	0.4287258959
215	0.4276946589
216	0.4257245119
217	0.4247151236
218	0.423194298
219	0.4209948991
220	0.4197037072
221	0.4189345662
222	0.416515559
223	0.4158223524
224	0.4147169662
225	0.4126439942
226	0.4114389174
227	0.4105288417
228	0.4087734945
229	0.4072255775
230	0.4063705407
231	0.4049600225
232	0.4036288545
233	0.4020381691
234	0.4013849701
235	0.4011047105
236	0.3988250512
237	0.3976383773
238	0.3967619012
239	0.3958219135
240	0.3941938181
241	0.3927851278
242	0.3903604819
243	0.3893176746
244	0.3884131166
245	0.3864538514
246	0.3856390387
247	0.3845375852
248	0.3834503097
249	0.3823613146
250	0.3816335074
251	0.3806882388
252	0.3795551249
253	0.3788084234
254	0.3779691482
255	0.3766388963
256	0.3759549502
257	0.3747404817
258	0.3733701239
259	0.3719532167
260	0.370381158
261	0.369660446
262	0.3685245926
263	0.3675272311
264	0.3655952475
265	0.3648369289
266	0.3631547278
267	0.3621709097
268	0.3609542997
269	0.3602340191
270	0.3589914632
271	0.3578877064
272	0.3573789012
273	0.3564490871
274	0.3551485059
275	0.3539095281
276	0.3527763955
277	0.3521173236
278	0.3508402959
279	0.3493664299
280	0.3482462073
281	0.3474844064
282	0.3465284066
283	0.3455516695
284	0.3448762684
285	0.3436284794
286	0.3424058148
287	0.3417823674
288	0.3403433849
289	0.3388679963
290	0.3374108308
291	0.336767076
292	0.336272988
293	0.3354594067
294	0.3337130525
295	0.3328080386
296	0.3322177032
297	0.3310236116
298	0.3299234585
299	0.3293936104
300	0.3282943661
301	0.3272359733
302	0.3262914589
303	0.3252140622
304	0.3243782195
305	0.3228162041
306	0.3221898715
307	0.3213271948
308	0.3199595722
309	0.3193335982
310	0.3185545243
311	0.3182729087
312	0.3173268959
313	0.3169158954
314	0.3158917392
315	0.3152570991
316	0.3137610803
317	0.3123087709
318	0.3116285872
319	0.310307675
320	0.3087598518
321	0.3073811511
322	0.3068396867
323	0.3060226061
324	0.3047814514
325	0.3041763886
326	0.3030428933
327	0.3024386141
328	0.3015789409
329	0.3012893912
330	0.3004338948
331	0.2998433706
332	0.2992216511
333	0.2984222086
334	0.2978616626
335	0.2967871599
336	0.2957731945
337	0.2950992784
338	0.2947202125
339	0.2940454008
340	0.2929190352
341	0.2915053549
342	0.2909360257
343	0.29012331
344	0.2891349402
345	0.2884309172
346	0.2873073034
347	0.2865568893
348	0.2852633668
349	0.2849247653
350	0.2841957668
351	0.2831611673
352	0.2822314339
353	0.2813333498
354	0.2805209874
355	0.2798637838
356	0.2786289376
357	0.2780428977
358	0.2773131888
359	0.2765635011
360	0.2757285361
361	0.2748900664
362	0.2737164418
363	0.2730600206
364	0.2722041947
365	0.2717346009
366	0.2710015914
367	0.2698713462
368	0.2693607822
369	0.2683570107
370	0.2678702017
371	0.2667547901
372	0.2660859241
373	0.2655973691
374	0.2644577843
375	0.2639582804
376	0.263020717
377	0.2620129544
378	0.2605908807
379	0.2595168737
380	0.2588818129
381	0.2578534258
382	0.2572502707
383	0.2567623721
384	0.2561471004
385	0.2557690733
386	0.2550297183
387	0.2548019037
388	0.2543947184
389	0.2535567997
390	0.2526849324
391	0.2517357991
392	0.2509985369
393	0.2506503761
394	0.2498534376
395	0.2494599782
396	0.2487100121
397	0.2481467069
398	0.2472346512
399	0.2468101291
400	0.2462583848
401	0.245497328
402	0.2448642779
403	0.2443045305
404	0.243733328
405	0.2430070619
406	0.2421561491
407	0.2414925822
408	0.2404804836
409	0.2400333056
410	0.2396948871
411	0.2395054511
412	0.2385427824
413	0.2378649581
414	0.237476869
415	0.2369528865
416	0.2358691161
417	0.2348746937
418	0.2340888346
419	0.2335003282
420	0.2328610682
421	0.2322525733
422	0.231424373
423	0.2306744598
424	0.2296383495
425	0.2295678349
426	0.2287514618
427	0.2283314361
428	0.2276706439
429	0.2270479072
430	0.2265713295
431	0.2258356124
432	0.2250598316
433	0.2245795318
434	0.2241560745
435	0.2237267326
436	0.2232769721
437	0.2227078754
438	0.2220888507
439	0.2214595984
440	0.2207344744
441	0.2203615948
442	0.2197085165
443	0.2189688914
444	0.2183901395
445	0.2174914474
446	0.2172309409
447	0.2167576826
448	0.2160504055
449	0.2156508187
450	0.2149695901
451	0.2137569822
452	0.2132290198
453	0.2125633186
454	0.2122853235
455	0.211866238
456	0.2111419526
457	0.2104840119
458	0.2100338366
459	0.2096801776
460	0.2095018655
461	0.2091066795
462	0.2083278546
463	0.2076514516
464	0.2072609025
465	0.2061368853
466	0.2053019034
467	0.2047351389
468	0.2042580644
469	0.2037786311
470	0.2033012995
471	0.2031070105
472	0.2025304814
473	0.2021393292
474	0.2016747304
475	0.201482142
476	0.2009670072
477	0.2004421394
478	0.1996189749
479	0.198844217
480	0.1980589304
481	0.1974965114
482	0.1968404334
483	0.1961401373
484	0.1957366402
485	0.1952246852
486	0.1945940341
487	0.1940115804
488	0.1930676376
489	0.1922609715
490	0.1918791063
491	0.1911990695
492	0.1905267164
493	0.1903323854
494	0.1897920682
495	0.1890119712
496	0.1888841123
497	0.1884710657
498	0.1882544116
499	0.1878769601
