iter	Passed	Remaining
0	1499	748475
1	1535	382370
2	1560	258529
3	1613	200032
4	1639	162346
5	1674	137884
6	1702	119882
7	1737	106873
8	1760	96057
9	1793	87860
10	1831	81398
11	1863	75789
12	1899	71144
13	1924	66823
14	1958	63315
15	1984	60045
16	2009	57104
17	2037	54566
18	2069	52393
19	2100	50423
20	2131	48616
21	2158	46905
22	2184	45310
23	2214	43917
24	2244	42638
25	2270	41387
26	2304	40365
27	2349	39610
28	2378	38630
29	2418	37891
30	2449	37057
31	2484	36337
32	2513	35575
33	2559	35078
34	2592	34449
35	2621	33787
36	2650	33162
37	2691	32721
38	2722	32176
39	2751	31641
40	2779	31112
41	2805	30592
42	2832	30101
43	2865	29697
44	2895	29280
45	2925	28876
46	2954	28475
47	2985	28114
48	3111	28635
49	3197	28778
50	3273	28818
51	3321	28612
52	3352	28272
53	3379	27912
54	3407	27572
55	3437	27251
56	3479	27038
57	3507	26727
58	3539	26458
59	3568	26171
60	3599	25904
61	3626	25620
62	3661	25400
63	3688	25130
64	3718	24885
65	3753	24679
66	3784	24460
67	3816	24243
68	3843	24010
69	3873	23796
70	3905	23597
71	3934	23388
72	3964	23192
73	3995	23001
74	4022	22796
75	4058	22640
76	4099	22522
77	4127	22331
78	4157	22155
79	4186	21980
80	4215	21804
81	4243	21633
82	4277	21489
83	4308	21338
84	4336	21171
85	4361	20994
86	4388	20832
87	4415	20670
88	4443	20518
89	4472	20376
90	4499	20224
91	4530	20089
92	4556	19940
93	4582	19793
94	4616	19679
95	4643	19539
96	4670	19402
97	4700	19280
98	4730	19159
99	4756	19026
100	4787	18911
101	4813	18781
102	4838	18647
103	4870	18543
104	4897	18423
105	4927	18315
106	4955	18199
107	5007	18173
108	5041	18084
109	5079	18008
110	5113	17919
111	5156	17864
112	5184	17754
113	5221	17680
114	5252	17585
115	5285	17496
116	5322	17422
117	5366	17374
118	5397	17279
119	5428	17190
120	5456	17091
121	5482	16987
122	5512	16897
123	5541	16803
124	5572	16718
125	5618	16676
126	5647	16586
127	5678	16503
128	5706	16413
129	5744	16349
130	5823	16403
131	5958	16612
132	6064	16734
133	6111	16691
134	6155	16643
135	6193	16576
136	6230	16509
137	6284	16485
138	6311	16391
139	6350	16328
140	6380	16246
141	6416	16176
142	6445	16091
143	6488	16042
144	6522	15968
145	6563	15913
146	6594	15835
147	6623	15753
148	6654	15676
149	6682	15592
150	6721	15534
151	6758	15472
152	6798	15417
153	6828	15342
154	6864	15278
155	6891	15197
156	6920	15119
157	6953	15051
158	6983	14977
159	7009	14895
160	7045	14835
161	7074	14760
162	7102	14684
163	7131	14610
164	7159	14536
165	7190	14467
166	7234	14426
167	7267	14361
168	7296	14291
169	7337	14243
170	7370	14180
171	7395	14103
172	7421	14027
173	7448	13956
174	7476	13884
175	7505	13816
176	7542	13763
177	7576	13705
178	7602	13633
179	7634	13572
180	7664	13507
181	7695	13446
182	7737	13403
183	7772	13348
184	7831	13334
185	7886	13314
186	7921	13258
187	7958	13207
188	7992	13151
189	8028	13098
190	8060	13039
191	8108	13007
192	8158	12976
193	8193	12923
194	8230	12872
195	8266	12822
196	8295	12758
197	8326	12700
198	8361	12647
199	8391	12586
200	8419	12523
201	8446	12461
202	8525	12473
203	8619	12506
204	8698	12517
205	8767	12512
206	8803	12460
207	8833	12400
208	8881	12365
209	8925	12326
210	8962	12276
211	8998	12224
212	9048	12192
213	9085	12142
214	9116	12084
215	9148	12028
216	9183	11977
217	9224	11932
218	9258	11879
219	9317	11858
220	9348	11802
221	9384	11752
222	9418	11698
223	9446	11639
224	9477	11583
225	9510	11530
226	9540	11473
227	9572	11420
228	9600	11361
229	9628	11303
230	9657	11246
231	9689	11193
232	9722	11141
233	9765	11100
234	9794	11045
235	9824	10989
236	9854	10935
237	9892	10890
238	9943	10858
239	9989	10821
240	10021	10769
241	10051	10715
242	10083	10664
243	10257	10761
244	10358	10781
245	10422	10761
246	10457	10711
247	10488	10657
248	10526	10611
249	10564	10564
250	10607	10522
251	10646	10477
252	10683	10429
253	10724	10386
254	10765	10342
255	10809	10302
256	10848	10257
257	10879	10204
258	10909	10151
259	10941	10099
260	10977	10051
261	11022	10013
262	11057	9964
263	11087	9911
264	11118	9859
265	11151	9809
266	11190	9765
267	11228	9719
268	11261	9670
269	11293	9620
270	11343	9585
271	11388	9546
272	11417	9494
273	11451	9445
274	11481	9394
275	11514	9344
276	11549	9298
277	11581	9248
278	11613	9199
279	11643	9148
280	11674	9098
281	11704	9048
282	11739	9001
283	11781	8960
284	11809	8908
285	11840	8859
286	11869	8809
287	11897	8757
288	11931	8711
289	11972	8669
290	12012	8627
291	12045	8580
292	12074	8530
293	12104	8481
294	12138	8434
295	12197	8406
296	12231	8360
297	12263	8312
298	12294	8264
299	12325	8216
300	12354	8167
301	12385	8120
302	12420	8075
303	12451	8027
304	12483	7981
305	12532	7945
306	12569	7902
307	12599	7853
308	12631	7807
309	12684	7774
310	12718	7729
311	12747	7680
312	12822	7660
313	12956	7674
314	13050	7664
315	13108	7632
316	13140	7585
317	13183	7545
318	13217	7499
319	13253	7454
320	13288	7410
321	13327	7367
322	13362	7322
323	13394	7276
324	13429	7231
325	13462	7185
326	13493	7138
327	13523	7091
328	13552	7044
329	13582	6996
330	13613	6950
331	13645	6904
332	13675	6858
333	13708	6813
334	13737	6766
335	13767	6719
336	13795	6672
337	13824	6625
338	13852	6579
339	13888	6535
340	13916	6488
341	13955	6447
342	13988	6402
343	14019	6357
344	14055	6314
345	14086	6269
346	14119	6225
347	14157	6183
348	14206	6146
349	14235	6101
350	14278	6061
351	14311	6017
352	14351	5976
353	14383	5932
354	14411	5886
355	14441	5841
356	14477	5799
357	14509	5754
358	14541	5711
359	14580	5670
360	14611	5626
361	14648	5584
362	14679	5540
363	14708	5495
364	14741	5452
365	14771	5408
366	14799	5363
367	14832	5320
368	14871	5279
369	14910	5238
370	14945	5196
371	14988	5157
372	15019	5114
373	15057	5072
374	15097	5032
375	15140	4993
376	15177	4951
377	15209	4909
378	15239	4865
379	15268	4821
380	15307	4781
381	15344	4739
382	15379	4698
383	15421	4658
384	15454	4616
385	15488	4574
386	15540	4537
387	15598	4502
388	15691	4477
389	15831	4465
390	15926	4439
391	15981	4403
392	16028	4364
393	16064	4321
394	16099	4279
395	16131	4236
396	16183	4198
397	16216	4155
398	16249	4113
399	16290	4072
400	16346	4035
401	16397	3997
402	16429	3954
403	16467	3913
404	16506	3871
405	16573	3837
406	16632	3800
407	16694	3764
408	16741	3724
409	16825	3693
410	16864	3652
411	16894	3608
412	16925	3565
413	16970	3525
414	17005	3482
