home_form_wins_3,home_form_draws_3,home_form_losses_3,home_form_points_3,home_form_goals_scored_3,home_form_goals_conceded_3,home_form_goal_diff_3,home_form_avg_goals_3,home_form_avg_shots_3,home_form_avg_sot_3,home_form_wins_5,home_form_draws_5,home_form_losses_5,home_form_points_5,home_form_goals_scored_5,home_form_goals_conceded_5,home_form_goal_diff_5,home_form_avg_goals_5,home_form_avg_shots_5,home_form_avg_sot_5,home_form_wins_10,home_form_draws_10,home_form_losses_10,home_form_points_10,home_form_goals_scored_10,home_form_goals_conceded_10,home_form_goal_diff_10,home_form_avg_goals_10,home_form_avg_shots_10,home_form_avg_sot_10,away_form_wins_3,away_form_draws_3,away_form_losses_3,away_form_points_3,away_form_goals_scored_3,away_form_goals_conceded_3,away_form_goal_diff_3,away_form_avg_goals_3,away_form_avg_shots_3,away_form_avg_sot_3,away_form_wins_5,away_form_draws_5,away_form_losses_5,away_form_points_5,away_form_goals_scored_5,away_form_goals_conceded_5,away_form_goal_diff_5,away_form_avg_goals_5,away_form_avg_shots_5,away_form_avg_sot_5,away_form_wins_10,away_form_draws_10,away_form_losses_10,away_form_points_10,away_form_goals_scored_10,away_form_goals_conceded_10,away_form_goal_diff_10,away_form_avg_goals_10,away_form_avg_shots_10,away_form_avg_sot_10,home_team_home_perf_win_rate,home_team_home_perf_avg_goals,home_team_home_perf_avg_conceded,home_team_home_perf_avg_shots,home_team_home_perf_avg_sot,away_team_away_perf_win_rate,away_team_away_perf_avg_goals,away_team_away_perf_avg_conceded,away_team_away_perf_avg_shots,away_team_away_perf_avg_sot,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,h2h_goal_diff,h2h_avg_total_goals,h2h_home_scoring_rate,h2h_away_scoring_rate,h2h_avg_shots,h2h_avg_corners,h2h_home_dominance,home_atk_avg_goals,home_atk_avg_shots,home_atk_avg_sot,home_atk_avg_corners,home_def_avg_conceded,home_def_clean_sheet_rate,home_def_shots_faced,home_def_avg_fouls,home_def_avg_yellow,home_def_avg_red,home_disc_fouls,home_disc_yellow,home_disc_red,home_mom_win_streak,home_mom_loss_streak,home_mom_unbeaten_streak,home_eff_goal_conversion,home_eff_shot_accuracy,home_eff_goals_per_sot,home_eff_sot_conversion,home_dom_shots_diff,home_dom_sot_diff,home_dom_corners_diff,home_dom_goals_diff,home_trend_goals,home_trend_conceded,home_trend_shots,home_trend_sot,home_consist_goals_std,home_consist_conceded_std,home_consist_shots_std,home_consist_sot_std,home_consist_corners_std,home_consist_gd_std,home_ht_goals_scored_avg,home_ht_goals_conceded_avg,home_ht_win_rate,home_ht_draw_rate,away_atk_avg_goals,away_atk_avg_shots,away_atk_avg_sot,away_atk_avg_corners,away_def_avg_conceded,away_def_clean_sheet_rate,away_def_shots_faced,away_def_avg_fouls,away_def_avg_yellow,away_def_avg_red,away_disc_fouls,away_disc_yellow,away_disc_red,away_mom_win_streak,away_mom_loss_streak,away_mom_unbeaten_streak,away_eff_goal_conversion,away_eff_shot_accuracy,away_eff_goals_per_sot,away_eff_sot_conversion,away_dom_shots_diff,away_dom_sot_diff,away_dom_corners_diff,away_dom_goals_diff,away_trend_goals,away_trend_conceded,away_trend_shots,away_trend_sot,away_consist_goals_std,away_consist_conceded_std,away_consist_shots_std,away_consist_sot_std,away_consist_corners_std,away_consist_gd_std,away_ht_goals_scored_avg,away_ht_goals_conceded_avg,away_ht_win_rate,away_ht_draw_rate,home_team_fd_home_opp_win_rate,home_team_fd_home_opp_avg_gd,home_team_fd_home_opp_avg_points,away_team_fd_away_opp_win_rate,away_team_fd_away_opp_avg_gd,away_team_fd_away_opp_avg_points,home_team_venue_mom_home_unbeaten,home_team_venue_mom_home_winning,home_team_venue_mom_home_scoring,away_team_venue_mom_away_unbeaten,away_team_venue_mom_away_winning,away_team_venue_mom_away_scoring,home_team_win_pct,home_team_ppm,away_team_win_pct,away_team_ppm,home_team_cs_rate,away_team_cs_rate,home_elo,away_elo,elo_diff,home_xg_proxy,away_xg_proxy,xg_proxy_diff,diff_form_points_3,diff_form_goals_scored_3,diff_form_avg_shots_3,diff_form_avg_sot_3,diff_form_goal_diff_3,diff_form_points_5,diff_form_goals_scored_5,diff_form_avg_shots_5,diff_form_avg_sot_5,diff_form_goal_diff_5,diff_form_points_10,diff_form_goals_scored_10,diff_form_avg_shots_10,diff_form_avg_sot_10,diff_form_goal_diff_10,home_advantage_index,home_team,away_team,date,ftr,ftr_encoded,season
1,0,0,3,1,0,1,1.0,8.0,2.0,1,0,0,3,1,0,1,1.0,8.0,2.0,1,0,0,3,1,0,1,1.0,8.0,2.0,1,0,0,3,3,0,3,3.0,10.0,4.0,1,0,0,3,3,0,3,3.0,10.0,4.0,1,0,0,3,3,0,3,3.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,3.0,0.0,1.0,9.0,7.0,3.0,0.0,7.0,3.0,0.0,1,0,1,0.125,0.25,0.5,0.25,-1.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,4.0,2.0,0.0,1.0,11.0,6.0,0.0,0.0,6.0,0.0,0.0,1,0,1,0.3,0.4,0.75,0.4,-1.0,1.0,-5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,3.0,1.0,3.0,0.0,0.0,1510.0,1510.0,0.0,0.2,0.4,-0.2,0,-2,-2.0,-2.0,-2,0,-2,-2.0,-2.0,-2,0,-2,-2.0,-2.0,-2,1.0,Arsenal,Burnley,2019-08-17,H,0,2019-2020
1,0,0,3,5,0,5,5.0,14.0,9.0,1,0,0,3,5,0,5,5.0,14.0,9.0,1,0,0,3,5,0,5,5.0,14.0,9.0,1,0,0,3,3,1,2,3.0,31.0,7.0,1,0,0,3,3,1,2,3.0,31.0,7.0,1,0,0,3,3,1,2,3.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,9.0,1.0,0.0,1.0,5.0,13.0,2.0,0.0,13.0,2.0,0.0,1,0,1,0.35714285714285715,0.6428571428571429,0.5555555555555556,0.6428571428571429,9.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,31.0,7.0,14.0,1.0,0.0,7.0,13.0,1.0,0.0,13.0,1.0,0.0,1,0,1,0.0967741935483871,0.22580645161290322,0.42857142857142855,0.22580645161290322,24.0,3.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,3.0,1.0,3.0,0.0,0.0,1510.0,1510.0,0.0,0.9,0.7000000000000001,0.19999999999999996,0,2,-17.0,2.0,3,0,2,-17.0,2.0,3,0,2,-17.0,2.0,3,1.0,Manchester City,Tottenham,2019-08-17,D,1,2019-2020
0,0,1,0,0,4,-4,0.0,18.0,7.0,0,0,1,0,0,4,-4,0.0,18.0,7.0,0,0,1,0,0,4,-4,0.0,18.0,7.0,0,1,0,1,0,0,0,0.0,15.0,1.0,0,1,0,1,0,0,0,0.0,15.0,1.0,0,1,0,1,0,0,0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,5.0,4.0,0.0,11.0,13.0,4.0,0.0,13.0,4.0,0.0,0,1,0,0.0,0.3888888888888889,0.0,0.3888888888888889,7.0,2.0,2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,12.0,0.0,1.0,8.0,3.0,0.0,0.0,3.0,0.0,0.0,0,0,1,0.0,0.06666666666666667,0.0,0.06666666666666667,7.0,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1490.0,1500.0,-10.0,0.7000000000000001,0.1,0.6000000000000001,-1,0,3.0,6.0,-4,-1,0,3.0,6.0,-4,-1,0,3.0,6.0,-4,0.0,Chelsea,Leicester,2019-08-18,D,1,2019-2020
0,1,0,1,0,0,0,0.0,8.0,2.0,0,1,0,1,0,0,0,0.0,8.0,2.0,0,1,0,1,0,0,0,0.0,8.0,2.0,1,0,0,3,4,0,4,4.0,11.0,5.0,1,0,0,3,4,0,4,4.0,11.0,5.0,1,0,0,3,4,0,4,4.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,0.0,1.0,15.0,13.0,2.0,0.0,13.0,2.0,0.0,0,0,1,0.0,0.25,0.0,0.25,-7.0,1.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,5.0,3.0,0.0,1.0,18.0,15.0,3.0,0.0,15.0,3.0,0.0,1,0,1,0.36363636363636365,0.45454545454545453,0.8,0.45454545454545453,-7.0,-2.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1.0,1.0,3.0,0.0,0.0,1500.0,1510.0,-10.0,0.2,0.5,-0.3,-2,-4,-3.0,-3.0,-4,-2,-4,-3.0,-3.0,-4,-2,-4,-3.0,-3.0,-4,0.3333333333333333,Wolverhampton,Manchester United,2019-08-19,D,1,2019-2020
2,0,0,6,6,2,4,3.0,15.0,6.5,2,0,0,6,6,2,4,3.0,15.0,6.5,2,0,0,6,6,2,4,3.0,15.0,6.5,2,0,0,6,3,1,2,1.5,12.0,5.5,2,0,0,6,3,1,2,1.5,12.0,5.5,2,0,0,6,3,1,2,1.5,12.0,5.5,1.0,4.0,1.0,15.0,7.0,1.0,1.0,0.0,8.0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,6.5,10.0,1.0,0.0,13.0,7.5,0.5,0.0,7.5,0.5,0.0,2,0,2,0.2,0.43333333333333335,0.46153846153846156,0.43333333333333335,2.0,2.5,6.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.0,0.0,1.5,12.0,5.5,6.5,0.5,0.5,13.5,10.0,2.5,0.0,10.0,2.5,0.0,2,0,2,0.125,0.4583333333333333,0.2727272727272727,0.4583333333333333,-1.5,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.33,0.0,1.0,0.33,0.0,1.0,1,1,1,1,1,1,1.0,3.0,1.0,3.0,0.0,1.0,1519.4249887221547,1520.0,-0.5750112778453058,0.65,0.55,0.09999999999999998,0,3,3.0,1.0,2,0,3,3.0,1.0,2,0,3,3.0,1.0,2,1.0,Liverpool,Arsenal,2019-08-24,H,0,2019-2020
1,1,0,4,5,1,4,2.5,10.0,3.5,1,1,0,4,5,1,4,2.5,10.0,3.5,1,1,0,4,5,1,4,2.5,10.0,3.5,0,1,1,1,0,1,-1,0.0,6.0,3.0,0,1,1,1,0,1,-1,0.0,6.0,3.0,0,1,1,1,0,1,-1,0.0,6.0,3.0,1.0,4.0,0.0,11.0,5.0,0.0,0.0,1.0,6.0,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,10.0,3.5,4.5,0.5,0.5,12.0,11.5,2.5,0.0,11.5,2.5,0.0,0,0,2,0.25,0.35,0.7142857142857143,0.35,-2.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,3.0,5.0,0.5,0.5,12.5,13.5,1.5,0.0,13.5,1.5,0.0,0,1,0,0.0,0.5,0.0,0.5,-6.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,1.0,0.33,0.0,1.0,1,1,1,0,0,0,0.5,2.0,0.0,0.5,1.0,0.0,1509.71225631668,1490.0,19.71225631667994,0.35000000000000003,0.30000000000000004,0.04999999999999999,3,5,4.0,0.5,5,3,5,4.0,0.5,5,3,5,4.0,0.5,5,4.0,Manchester United,Crystal Palace,2019-08-24,A,2,2019-2020
1,0,1,3,4,5,-1,2.0,13.5,6.5,1,0,1,3,4,5,-1,2.0,13.5,6.5,1,0,1,3,4,5,-1,2.0,13.5,6.5,0,1,1,1,1,5,-4,0.5,16.0,6.0,0,1,1,1,1,5,-4,0.5,16.0,6.0,0,1,1,1,1,5,-4,0.5,16.0,6.0,1.0,3.0,1.0,15.0,8.0,0.0,0.0,4.0,18.0,7.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.5,6.5,4.5,2.5,0.0,12.5,9.0,1.5,0.0,9.0,1.5,0.0,1,0,1,0.14814814814814814,0.48148148148148145,0.3076923076923077,0.48148148148148145,1.0,1.5,-3.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.5,0.0,0.5,16.0,6.0,4.5,2.5,0.0,11.5,11.0,2.5,0.0,11.0,2.5,0.0,0,0,1,0.03125,0.375,0.08333333333333333,0.375,4.5,2.0,0.5,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.33,0.0,1.0,0.33,0.0,1.0,1,1,1,0,0,0,0.5,1.5,0.0,0.5,0.0,0.0,1500.0,1490.28774368332,9.712256316679941,0.65,0.6000000000000001,0.04999999999999993,2,3,-2.5,0.5,3,2,3,-2.5,0.5,3,2,3,-2.5,0.5,3,3.0,Norwich,Chelsea,2019-08-24,A,2,2019-2020
1,1,0,4,3,2,1,1.5,12.5,3.5,1,1,0,4,3,2,1,1.5,12.5,3.5,1,1,0,4,3,2,1,1.5,12.5,3.5,1,1,0,4,7,2,5,3.5,22.0,9.5,1,1,0,4,7,2,5,3.5,22.0,9.5,1,1,0,4,7,2,5,3.5,22.0,9.5,0.0,1.0,1.0,13.0,3.0,1.0,5.0,0.0,14.0,9.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,12.5,3.5,4.0,1.0,0.0,15.0,11.5,2.0,0.0,11.5,2.0,0.0,1,0,2,0.12,0.28,0.42857142857142855,0.28,-2.5,-1.5,-3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,3.5,22.0,9.5,7.0,1.0,0.5,4.0,13.5,1.5,0.0,13.5,1.5,0.0,0,0,2,0.1590909090909091,0.4318181818181818,0.3684210526315789,0.4318181818181818,18.0,7.0,5.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1.0,0.0,0.33,0.0,1.0,0.33,0.0,1.0,1,0,1,1,1,1,0.5,2.0,0.5,2.0,0.0,1.0,1509.71225631668,1510.0,-0.28774368332005906,0.35000000000000003,0.9500000000000001,-0.6000000000000001,0,-4,-9.5,-6.0,-4,0,-4,-9.5,-6.0,-4,0,-4,-9.5,-6.0,-4,1.0,Bournemouth,Manchester City,2019-08-25,A,2,2019-2020
1,1,1,4,5,3,2,1.6666666666666667,13.666666666666666,4.333333333333333,1,1,1,4,5,3,2,1.6666666666666667,13.666666666666666,4.333333333333333,1,1,1,4,5,3,2,1.6666666666666667,13.666666666666666,4.333333333333333,3,0,0,9,9,3,6,3.0,18.333333333333332,6.0,3,0,0,9,9,3,6,3.0,18.333333333333332,6.0,3,0,0,9,9,3,6,3.0,18.333333333333332,6.0,1.0,3.0,0.0,10.0,4.0,1.0,2.0,1.0,15.0,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,13.666666666666666,4.333333333333333,4.0,1.0,0.3333333333333333,14.666666666666666,9.333333333333334,1.0,0.0,9.333333333333334,1.0,0.0,0,0,1,0.12195121951219512,0.3170731707317073,0.38461538461538464,0.3170731707317073,-1.0,-0.3333333333333333,-3.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.1547005383792517,1.0,4.041451884327381,0.5773502691896258,2.6457513110645907,2.081665999466133,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,3.0,18.333333333333332,6.0,8.666666666666666,1.0,0.0,11.666666666666666,7.666666666666667,0.6666666666666666,0.0,7.666666666666667,0.6666666666666666,0.0,3,0,3,0.16363636363636364,0.32727272727272727,0.5,0.32727272727272727,6.666666666666667,2.3333333333333335,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.773502691896257,1.0,2.5166114784235836,1.0,2.0,0.0,1.0,0.0,0.33,0.0,1.0,0.33,0.0,1.0,1,1,1,1,1,1,0.3333333333333333,1.3333333333333333,1.0,3.0,1.0,0.0,1500.0082819270542,1529.4415388620023,-29.433256934948076,0.43333333333333335,0.6000000000000001,-0.16666666666666674,-5,-4,-4.666666666666666,-1.666666666666667,-4,-5,-4,-4.666666666666666,-1.666666666666667,-4,-5,-4,-4.666666666666666,-1.666666666666667,-4,0.4444444444444444,Burnley,Liverpool,2019-08-31,A,2,2019-2020
2,1,0,7,10,3,7,3.3333333333333335,21.0,8.0,2,1,0,7,10,3,7,3.3333333333333335,21.0,8.0,2,1,0,7,10,3,7,3.3333333333333335,21.0,8.0,1,1,1,4,4,3,1,1.3333333333333333,11.0,3.3333333333333335,1,1,1,4,4,3,1,1.3333333333333333,11.0,3.3333333333333335,1,1,1,4,4,3,1,1.3333333333333333,11.0,3.3333333333333335,0.0,2.0,2.0,30.0,10.0,1.0,3.0,0.0,5.0,3.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,21.0,8.0,6.333333333333333,1.0,0.3333333333333333,6.0,13.333333333333334,2.0,0.0,13.333333333333334,2.0,0.0,1,0,3,0.15873015873015872,0.38095238095238093,0.4166666666666667,0.38095238095238093,15.0,4.0,4.0,2.3333333333333335,0.0,0.0,0.0,0.0,1.5275252316519468,1.0,8.18535277187245,2.6457513110645907,6.110100926607786,2.5166114784235836,1.6666666666666667,0.6666666666666666,1.0,0.0,1.3333333333333333,11.0,3.3333333333333335,6.0,1.0,0.3333333333333333,10.333333333333334,10.333333333333334,0.6666666666666666,0.3333333333333333,10.333333333333334,0.6666666666666666,0.3333333333333333,0,1,0,0.12121212121212122,0.30303030303030304,0.4,0.30303030303030304,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.5275252316519468,1.0,5.5677643628300215,0.5773502691896258,3.4641016151377544,2.5166114784235836,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.33,0.0,1.0,0.33,0.0,1.0,1,0,1,1,1,1,0.6666666666666666,2.3333333333333335,0.3333333333333333,1.3333333333333333,0.0,1.0,1519.9917180729458,1498.596522873633,21.395195199312866,0.8,0.33333333333333337,0.4666666666666667,3,6,10.0,4.666666666666666,6,3,6,10.0,4.666666666666666,6,3,6,10.0,4.666666666666666,6,1.75,Manchester City,Brighton,2019-08-31,H,0,2019-2020
