,count,mean,std,min,25%,50%,75%,max
home_form_wins,2270.0,3.7555066079295156,2.0675360287632163,0.0,2.0,4.0,5.0,10.0
home_form_draws,2270.0,2.2656387665198237,1.342727637005634,0.0,1.0,2.0,3.0,7.0
home_form_losses,2270.0,3.6977973568281937,2.0178455697610276,0.0,2.0,4.0,5.0,10.0
home_form_points,2270.0,13.53215859030837,5.977080966572569,0.0,9.0,13.0,18.0,30.0
home_form_goals_scored,2270.0,14.040528634361234,6.010724636044112,0.0,10.0,13.0,18.0,37.0
home_form_goals_conceded,2270.0,13.907048458149779,5.205659666426281,0.0,11.0,14.0,17.0,36.0
home_form_goal_diff,2270.0,0.13348017621145375,8.75086233883562,-27.0,-6.0,-1.0,5.0,33.0
home_form_avg_goals,2270.0,1.4385871617369412,0.5952778821767376,0.0,1.0,1.4,1.8,5.0
home_form_avg_shots,2270.0,12.711132962729879,2.887273082713217,0.0,10.8,12.4,14.4,24.3
home_form_avg_sot,2270.0,4.460875812880219,1.2408324335966474,0.0,3.6,4.3,5.276785714285714,9.0
home_atk_avg_goals,2270.0,1.4363013076008668,0.5978035918546847,0.0,1.0,1.4,1.8,5.0
home_atk_avg_shots,2270.0,12.665249458079852,2.87906058518328,0.0,10.7,12.3,14.375,24.3
home_atk_avg_sot,2270.0,4.44826690441228,1.241056390298901,0.0,3.6,4.3,5.2,9.0
home_atk_avg_corners,2270.0,5.173765296133138,1.316049011178593,0.0,4.3,5.0,6.0,10.3
home_def_avg_goals_conceded,2270.0,1.4375513950073422,0.5286188905229348,0.0,1.1,1.4,1.8,4.0
home_def_clean_sheets,2270.0,0.2602783022166282,0.16484951435865666,0.0,0.1,0.2,0.4,1.0
home_def_shots_faced,2270.0,12.784014579400043,3.038505414189207,0.0,10.8,12.82857142857143,14.8,31.0
home_def_avg_fouls,2270.0,10.76510820921614,1.578345198374141,0.0,9.8,10.8,11.7,19.0
home_def_avg_yellow,2270.0,1.7823115516397454,0.5454237276173474,0.0,1.4,1.8,2.1,4.1
home_def_avg_red,2270.0,0.058214635340186,0.07910882517209838,0.0,0.0,0.0,0.1,1.0
home_disc_fouls,2270.0,10.76510820921614,1.578345198374141,0.0,9.8,10.8,11.7,19.0
home_disc_yellow,2270.0,1.7823115516397454,0.5454237276173474,0.0,1.4,1.8,2.1,4.1
home_disc_red,2270.0,0.058214635340186,0.07910882517209838,0.0,0.0,0.0,0.1,1.0
home_mom_win_streak,2270.0,2.232599118942731,2.725359391004395,0.0,0.0,0.0,4.0,10.0
home_mom_loss_streak,2270.0,2.4295154185022025,2.6561604609717047,0.0,0.0,2.0,5.0,10.0
home_mom_unbeaten_streak,2270.0,1.8515418502202643,2.5516238578250614,0.0,0.0,1.0,3.0,10.0
away_form_wins,2270.0,3.7599118942731278,2.079316596037614,0.0,2.0,4.0,5.0,10.0
away_form_draws,2270.0,2.2594713656387664,1.3695954509517971,0.0,1.0,2.0,3.0,7.0
away_form_losses,2270.0,3.6951541850220266,2.0447879217153466,0.0,2.0,4.0,5.0,10.0
away_form_points,2270.0,13.53920704845815,6.018262590377511,0.0,9.0,13.0,18.0,30.0
away_form_goals_scored,2270.0,14.041850220264317,5.971322100548897,0.0,10.0,13.0,18.0,38.0
away_form_goals_conceded,2270.0,13.929955947136564,5.239351012145336,0.0,10.0,14.0,17.0,35.0
away_form_goal_diff,2270.0,0.11189427312775331,8.777740860882906,-27.0,-5.0,0.0,5.0,31.0
away_form_avg_goals,2270.0,1.4389152856443606,0.5947802919409299,0.0,1.0,1.4,1.8,4.0
away_form_avg_shots,2270.0,12.74569418222502,2.8980571923009566,0.0,10.8,12.4,14.4,31.0
away_form_avg_sot,2270.0,4.467029578351164,1.235736345228621,0.0,3.6,4.3,5.3,9.6
away_atk_avg_goals,2270.0,1.4456553737500872,0.5971157602713955,0.0,1.0,1.4,1.8,4.0
away_atk_avg_shots,2270.0,12.801288895881406,2.9030174998911953,0.0,10.8,12.5,14.5,31.0
away_atk_avg_sot,2270.0,4.488263058527376,1.234293735251219,0.0,3.6,4.4,5.3,9.5
away_atk_avg_corners,2270.0,5.237467834417174,1.3438976659186603,0.0,4.4,5.0,6.0,14.0
away_def_avg_goals_conceded,2270.0,1.4336296412838263,0.5286845844231587,0.0,1.1,1.4,1.7,5.0
away_def_clean_sheets,2270.0,0.2625599608418992,0.16560410906399609,0.0,0.1,0.2,0.4,1.0
away_def_shots_faced,2270.0,12.675163450108384,2.974246067694124,0.0,10.6,12.8,14.6,27.0
away_def_avg_fouls,2270.0,10.746104118593106,1.5575175025318184,0.0,9.8,10.707142857142856,11.7,16.0
away_def_avg_yellow,2270.0,1.7736612824278022,0.5446468006567414,0.0,1.4,1.75,2.1,4.1
away_def_avg_red,2270.0,0.05837738619676945,0.07602923737077907,0.0,0.0,0.0,0.1,0.5
away_disc_fouls,2270.0,10.746104118593106,1.5575175025318184,0.0,9.8,10.707142857142856,11.7,16.0
away_disc_yellow,2270.0,1.7736612824278022,0.5446468006567414,0.0,1.4,1.75,2.1,4.1
away_disc_red,2270.0,0.05837738619676945,0.07602923737077907,0.0,0.0,0.0,0.1,0.5
away_mom_win_streak,2270.0,2.4726872246696034,2.7359003187978543,0.0,0.0,2.0,5.0,10.0
away_mom_loss_streak,2270.0,2.175330396475771,2.649847489079775,0.0,0.0,0.0,4.0,10.0
away_mom_unbeaten_streak,2270.0,2.0048458149779735,2.586787690934565,0.0,0.0,1.0,3.0,10.0
home_team_home_win_rate,2270.0,0.42899033506887224,0.18150607376006,0.0,0.3333333333333333,0.4,0.520625,1.0
home_team_home_avg_goals,2270.0,1.5049529424257335,0.5380141193460511,0.0,1.1666666666666667,1.4,1.7656445556946183,4.666666666666667
home_team_home_avg_goals_conceded,2270.0,1.254258566210794,0.3718121151578992,0.0,1.05,1.243050193050193,1.4245537567455375,5.0
home_team_home_avg_shots,2270.0,13.472061792901762,2.737339938204186,0.0,12.0,12.874342105263157,14.964424951267057,31.0
home_team_home_avg_sot,2270.0,4.645871884139362,1.1148187179931528,0.0,3.92046875,4.485479797979798,5.290229430379746,10.0
away_team_away_win_rate,2270.0,0.33304369213418894,0.164296299264836,0.0,0.25,0.3084609266255717,0.4285714285714285,1.0
away_team_away_avg_goals,2270.0,1.2881912133490916,0.4636343355304762,0.0,1.0,1.2139389736477115,1.5709325396825395,5.0
away_team_away_avg_goals_conceded,2270.0,1.504141328452243,0.42736688880695817,0.0,1.262218045112782,1.4831119544592033,1.7123673740053051,5.0
away_team_away_avg_shots,2270.0,11.41687505868031,2.5524371716199026,0.0,10.0,11.307071960297767,12.576343381389254,20.5
away_team_away_avg_sot,2270.0,4.067317614594373,1.081437363643972,0.0,3.433791770857013,3.94882147533828,4.727272727272728,9.0
