rank,feature
1,away_def_shots_faced
2,away_team_away_perf_avg_shots
3,away_dom_shots_diff
4,home_team_ppm
5,away_team_away_perf_avg_sot
6,home_elo
7,diff_form_avg_shots_10
8,home_ht_win_rate
9,home_disc_fouls
10,home_consist_shots_std
11,away_trend_goals
12,home_team_home_perf_avg_sot
13,away_disc_fouls
14,home_ht_goals_scored_avg
15,away_consist_goals_std
16,home_consist_sot_std
17,home_team_home_perf_avg_goals
18,home_consist_corners_std
19,away_consist_conceded_std
20,away_team_fd_away_opp_avg_gd
21,home_atk_avg_shots
22,away_trend_sot
23,away_dom_sot_diff
24,h2h_away_scoring_rate
25,away_team_fd_away_opp_avg_points
26,home_disc_red
27,home_def_shots_faced
28,h2h_home_scoring_rate
29,elo_diff
30,home_trend_sot
31,home_team_home_perf_avg_conceded
32,away_consist_sot_std
33,home_team_fd_home_opp_avg_points
34,away_team_away_perf_avg_conceded
35,h2h_avg_shots
36,home_team_fd_home_opp_avg_gd
37,home_eff_sot_conversion
38,home_advantage_index
39,h2h_home_dominance
40,away_team_venue_mom_away_unbeaten
41,home_form_avg_shots_3
42,away_eff_goals_per_sot
43,away_mom_win_streak
44,away_consist_shots_std
45,away_dom_corners_diff
46,away_disc_yellow
47,away_trend_shots
48,home_team_home_perf_avg_shots
49,home_atk_avg_corners
50,diff_form_avg_shots_3
